qid,question,condition,answer,outcome,refused,refusal_reason,nearest_distance,sources,total_s,behaved_correctly,answer_correct,error,category,expected
B06,What is the currency of Japan?,Threshold on,The provided documents do not contain this information.,refused,True,retrieval_distance,0.5915,,0.021,True,,,out_of_corpus,refuse
B07,Who wrote the novel Wuthering Heights?,Threshold on,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6593,,0.026,True,,,out_of_corpus,refuse
B08,What is the chemical symbol for tungsten?,Threshold on,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7068,,0.024,True,,,out_of_corpus,refuse
B09,How many time zones does Russia have?,Threshold on,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6543,,0.025,True,,,out_of_corpus,refuse
B10,What is the population of Singapore?,Threshold on,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7008,,0.022,True,,,out_of_corpus,refuse
B11,Who is the chief executive of OpenAI?,Threshold on,The provided documents do not contain this information.,refused,True,retrieval_distance,0.76,,0.027,True,,,out_of_corpus,refuse
B12,What is the world record for the men's 100 metre sprint?,Threshold on,The provided documents do not contain this information.,refused,True,retrieval_distance,0.7033,,0.022,True,,,out_of_corpus,refuse
C03,How many parameters does GPT-4 have?,Threshold on,The provided documents do not contain this information.,refused,True,retrieval_distance,0.6964,,0.032,True,,,related_unanswerable,refuse
C04,Which Python library should I use to implement a CKY parser?,Threshold on,The provided documents do not contain this information.,refused,True,model_judgement,0.4668,"course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk4.1.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk7.2.pdf; course-reading-wk2.1.pdf; course-reading-wk2.1.pdf; course-reading-wk2.1.pdf",3.078,True,,,related_unanswerable,refuse
C05,What learning rate should I use when training a deep learning language model?,Threshold on,The provided documents do not contain this information.,refused,True,model_judgement,0.4919,"course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk6.1.pdf; course-reading-wk2.2.pdf; course-reading-wk2.2.pdf; course-reading-wk6.1.pdf; course-reading-wk8.1.pdf; course-reading-wk8.3.pdf; course-reading-wk8.4.pdf",3.148,True,,,related_unanswerable,refuse
