question,k_requested,n_chunks,context_chars,retrieve_s,generate_s,total_s,wall_s,elapsed_since_start_s,error,model,block,phase,cold_start_reliable,resident
What is add-one smoothing?,10,10,3603,0.026,2.789,2.815,2.822,748.0,,llama3.1:8b,2,steady,,llama3.1:8b
What are stopwords?,10,10,4601,0.026,2.574,2.6,2.621,750.6,,llama3.1:8b,2,steady,,llama3.1:8b
What is the difference between types and tokens?,10,10,3803,0.027,5.892,5.919,5.945,756.5,,llama3.1:8b,2,steady,,llama3.1:8b
Explain the parallelogram model for analogies.,10,10,3820,0.025,7.124,7.15,7.155,763.7,,llama3.1:8b,2,steady,,llama3.1:8b
What assumption makes Naive Bayes naive?,10,10,4714,0.024,1.192,1.216,1.241,764.9,,llama3.1:8b,2,steady,,llama3.1:8b
Define precision and recall.,10,10,4392,0.021,3.448,3.469,3.474,768.4,,llama3.1:8b,2,steady,,llama3.1:8b
What is a confusion matrix?,10,10,4510,0.027,2.831,2.858,2.864,771.3,,llama3.1:8b,2,steady,,llama3.1:8b
What is overfitting?,10,10,3450,0.026,1.192,1.218,1.236,772.5,,llama3.1:8b,2,steady,,llama3.1:8b
Explain cross-validation.,10,10,4494,0.025,7.323,7.348,7.354,779.9,,llama3.1:8b,2,steady,,llama3.1:8b
What are the three categories of machine learning?,10,10,4313,0.027,4.571,4.597,4.619,784.5,,llama3.1:8b,2,steady,,llama3.1:8b
What is a context-free grammar?,10,10,4536,0.021,3.381,3.401,3.426,787.9,,llama3.1:8b,2,steady,,llama3.1:8b
What is the CKY algorithm?,10,10,4709,0.023,4.413,4.436,4.467,792.4,,llama3.1:8b,2,steady,,llama3.1:8b
What is a text corpus?,10,10,3678,0.023,2.202,2.224,2.246,794.6,,llama3.1:8b,2,steady,,llama3.1:8b
Why are natural languages harder to parse than formal languages?,10,10,4204,0.031,3.61,3.641,3.649,798.3,,llama3.1:8b,2,steady,,llama3.1:8b
What is stemming in text normalisation?,10,10,4646,0.021,1.789,1.809,1.828,830.2,,llama3.1:8b,3,steady,,llama3.1:8b
What is lemmatization?,10,10,4366,0.024,3.353,3.377,3.383,833.6,,llama3.1:8b,3,steady,,llama3.1:8b
Explain the Markov assumption.,10,10,3904,0.019,2.919,2.939,2.97,836.5,,llama3.1:8b,3,steady,,llama3.1:8b
How does TF-IDF weight terms?,10,10,4690,0.025,5.929,5.954,5.97,842.5,,llama3.1:8b,3,steady,,llama3.1:8b
What is cosine similarity used for?,10,10,4278,0.023,4.231,4.254,4.273,846.8,,llama3.1:8b,3,steady,,llama3.1:8b
What is perplexity?,10,10,4220,0.022,2.651,2.672,2.703,849.5,,llama3.1:8b,3,steady,,llama3.1:8b
What is add-one smoothing?,10,10,3603,0.022,2.765,2.788,2.815,852.3,,llama3.1:8b,3,steady,,llama3.1:8b
What are stopwords?,10,10,4601,0.026,2.54,2.566,2.585,854.9,,llama3.1:8b,3,steady,,llama3.1:8b
What is the difference between types and tokens?,10,10,3803,0.024,5.71,5.734,5.761,860.6,,llama3.1:8b,3,steady,,llama3.1:8b
Explain the parallelogram model for analogies.,10,10,3820,0.027,7.058,7.085,7.091,867.7,,llama3.1:8b,3,steady,,llama3.1:8b
What assumption makes Naive Bayes naive?,10,10,4714,0.023,1.139,1.162,1.187,868.9,,llama3.1:8b,3,steady,,llama3.1:8b
Define precision and recall.,10,10,4392,0.022,3.456,3.478,3.501,872.4,,llama3.1:8b,3,steady,,llama3.1:8b
What is a confusion matrix?,10,10,4510,0.022,2.789,2.811,2.834,875.3,,llama3.1:8b,3,steady,,llama3.1:8b
What is overfitting?,10,10,3450,0.021,1.2,1.221,1.249,876.5,,llama3.1:8b,3,steady,,llama3.1:8b
Explain cross-validation.,10,10,4494,0.025,7.172,7.197,7.222,883.7,,llama3.1:8b,3,steady,,llama3.1:8b
What are the three categories of machine learning?,10,10,4313,0.022,4.503,4.525,4.543,888.3,,llama3.1:8b,3,steady,,llama3.1:8b
What is a context-free grammar?,10,10,4536,0.022,3.193,3.215,3.247,891.5,,llama3.1:8b,3,steady,,llama3.1:8b
What is the CKY algorithm?,10,10,4709,0.02,4.362,4.382,4.412,895.9,,llama3.1:8b,3,steady,,llama3.1:8b
What is a text corpus?,10,10,3678,0.02,2.186,2.206,2.212,898.1,,llama3.1:8b,3,steady,,llama3.1:8b
Why are natural languages harder to parse than formal languages?,10,10,4204,0.026,3.562,3.588,3.613,901.8,,llama3.1:8b,3,steady,,llama3.1:8b
