query,rank,distance,relevant,chunk
Why does the transformer use positional encoding?,5,0.4638,0,"are from the Transformer encoder outputs. In the decoder self-attention, queries, keys, and values are all from the outputs of theprevious decoder layer. However, each position in the decoder is allowed only to attend to all positions in the decoder up to that position. This masked attention preserves the autoregressive property, ensuring that the prediction only depends on those output tokens tha"
Why does the transformer use positional encoding?,6,0.4653,0,"representations will be fed into an added output layer, with minimal changes to the model architecture depending on nature of tasks, such as predicting for every token vs. predicting for the entire sequence. Second, all the parameters of the pretrained Transformer Bidirectional Encoder Representations from Transformers (BERT) x f(x) x x f(x,c(x)) x c(x)"
Why does the transformer use positional encoding?,7,0.4725,0,"Now we [construct the entire Transformer decoder] composed of num_blks instances of TransformerDecoderBlock. In the end, a fully connected layer computes the prediction for all the vocab_size possible output tokens. Both of the decoder self-attentionweights and the encoder--decoder attention weights are stored for later visualization."
Why does the transformer use positional encoding?,8,0.4814,0,"3. For language modeling, should we use the Transformer encoder, decoder, or both? How would you design this method? 4. What challenges can Transformers face if input sequences are very long? Why?5. How would you improve the computational and memory efficiency of Transformers? Hint: you may refer to the survey paper by :citet:Tay.Dehghani.Bahri.ea.2020. Summary Discussions"
Why does the transformer use positional encoding?,9,0.5045,0,"An illustration of the main components of the transformer model from the original paper, where layers were normalized after (instead of before) multiheaded attention As machine learning algorithms process numbers rather than text, the text must be converted to numbers. In the first step, a vocabulary is decided upon, then integer indices are arbitrarily but uniquely assigned to each vocabulary ent"
Why does the transformer use positional encoding?,10,0.5337,0,"connection is employed around both sublayers. In the Transformer, for any input  at any position of the sequence, we require that  so that the residual connection  is feasible. This addition from the residual connection is immediately followed by layer normalization :cite:Ba.Kiros.Hinton.2016. As a result, the Transformer encoder outputs a -dimensional vector representation for each position of th"
What is word error rate?,1,0.2951,1,"measures: amplitude (strength), and frequency (vibrations per second).[158] Accuracy can be computed with the help of WER, which is calculated by aligning the recognized word and referenced word using dynamic string alignment. The problem may occur while computing the WER due to the difference between the sequence lengths of the recognized word and referenced word. The formula to compute the word "
What is word error rate?,2,0.4092,1,"where s is the number of substitutions, d is the number of deletions, i is the number of insertions, and n is the number of word references.[159] While computing, the word recognition rate (WRR) is used. The formula is: where h is the number of correctly recognized words: Speech recognition can become a means of attack, theft, or accidental operation. For example, activation words like ""Alexa"" spo"
What is word error rate?,3,0.4146,0,"elapsed time. Other measures of accuracy include Single Word Error Rate (SWER) and Command Success Rate (CSR). Speech recognition is complicated by many properties of speech. Vocalizations vary in terms of accent, pronunciation, articulation, roughness, dialect, nasality, pitch, volume, and speed. Speech is distorted by background noise, echoes, and recording characteristics. Accuracy of speech re"
What is word error rate?,4,0.4594,0,"The accuracy of speech recognition may vary depending on the following factors: Error rates increase as the vocabulary size grows: e.g. the 10 digits ""zero"" to ""nine"" can be recognized essentially perfectly, but vocabulary sizes of 200, 5000, or 100000 may have error rates of 3%, 7%, or 45% respectively. Vocabulary is hard to recognize if it contains confusing letters: e.g. the 26 letters of the E"
What is word error rate?,5,0.48,0,"more time to fix.[146] The act of having to go back and revise misheard words helps students to see and fix their mistakes.[142] This has been shown to increase error recognition skills for users.[145] ASR is now commonplace in the field of telephony. In telephony systems, ASR is predominantly used in contact centers by integrating it with IVR systems. People with disabilities Other domains"
What is word error rate?,6,0.5038,0,"were found to write faster[142][143] and to have longer, more complex sentences[143] with less errors.[144] Self esteem[141] of young students with learning disabilities was found to rise when using speech to text due to decreased levels of anxiety[145] associated with writing. Students make less mistakes when using the software compared to handwriting which makes them more confident in their writ"
What is word error rate?,7,0.5096,0,"Communication Association, pp. 1917–1921, archived (https://web.archive.org/web/202409090 53932/https://www.isca-speech.org/archive/pdfs/interspeech_2015/loukina15_interspeech.pdf) (PDF) from the original on 9 September 2024, retrieved 9 September 2024, ""only 16% of the variability in word-level intelligibility can be explained by the presence of obvious mispronunciations."""
What is word error rate?,8,0.5138,0,"accuracy test which is implemented in Word2Vec,[33] or develop their own test set which is meaningful to the corpora which make up the model. This approach offers a more challenging test than simply arguing that the words most similar to a given test word are intuitively plausible.[1] The use of different model parameters and different corpus sizes can greatly affect the quality of a Word2Vec mode"
What is word error rate?,9,0.5163,0,"ker-independent). apxml.com. Retrieved 24 October 2025. 157. ""Media Streams - WebSocket Messages | Twilio"" (https://www.twilio.com/docs/voice/media-stre ams/websocket-messages?). twilio.com. Retrieved 24 October 2025. 158. ""Sound | Properties, Types, & Facts | Britannica"" (https://www.britannica.com/science/sound-ph ysics). Encyclopædia Britannica. 13 September 2025. Retrieved 24 October 2025. 159"
What is word error rate?,10,0.5166,0,"nonexistent in the Brown Corpus (an actual measurement of triple probabilities would require a much larger corpus). Both methods achieved an accuracy of over 95%. DeRose's 1990 dissertation at Brown University included analyses of the specific error types, probabilities, and other related data, and replicated his work for Greek, where it proved similarly effective. These findings were surprisingly"
What is named-entity recognition?,1,0.2983,1,"Named-entity recognition Named-entity recognition (NER) (also known as (named) entity identification, entity chunking, and entity extraction) is a subtask of information extraction that seeks to locate and classify named entities mentioned in unstructured text into pre-defined categories such as person names (PER), organizations (ORG), locations (LOC), geopolitical entities (GPE), vehicles (VEH), "
What is named-entity recognition?,2,0.3334,0,"pp. 1030–1038. 13. Nothman, Joel; et al. (2013). ""Learning multilingual named entity recognition from Wikipedia"". Artificial Intelligence. 194: 151–175. doi:10.1016/j.artint.2012.03.006 (https://doi.org/10.1016% 2Fj.artint.2012.03.006). 14. Jurafsky, Dan; Martin, James H. (2009). ""22.1. Named Entity Recognition"". Speech and language processing: an introduction to natural language processing, compu"
What is named-entity recognition?,3,0.3341,0,"1/). Ninth Conference of the European Chapter of the Association for Computational Linguistics. Bergen, Norway: Association for Computational Linguistics: 1–8. 16. Nadeau, David; Turney, Peter D.; Matwin, Stan (2006). ""Unsupervised Named-Entity Recognition: Generating Gazetteers and Resolving Ambiguity"" (https://link.springer.com/chapte r/10.1007/11766247_23). In Lamontagne, Luc; Marchand, Mario ("
What is named-entity recognition?,4,0.3403,0,"ceedings/muc_7_toc.html#named) 23. Turian, J., Ratinov, L., & Bengio, Y. (2010, July). Word representations: a simple and general method for semi-supervised learning. In Proceeding of the 48th Annual Meeting of the Association for Computational Linguistics (pp. 384–394). Association for Computational Linguistics. PDF (https://cogcomp.cs.illinois.edu/papers/TurianRaBe2010.pdf) 24. Ratinov, L., & Ro"
What is named-entity recognition?,5,0.3485,0,"Organizing Committee: 145–152. Jurafsky, Daniel; Martin, James H. (2008). ""13.5 Partial Parsing"". Speech and Language Processing (2nd ed.). Upper Saddle River, N.J.: Prentice Hall. ISBN 978-0131873216. Jurafsky, Daniel; Martin, James H. (2008). ""22.1. Named Entity Recognition"". Speech and Language Processing (2nd ed.). Upper Saddle River, N.J.: Prentice Hall. ISBN 978- 0131873216. Retrieved from """
What is named-entity recognition?,6,0.3626,0,"although ""Ford"" can refer to many other entities as well (see Ford). Rigid designators include proper names as well as terms for certain biological species and substances,[3] but exclude pronouns (such as ""it""; see coreference resolution), descriptions that pick out a referent by its properties (see also De dicto and de re), and names for kinds of things as opposed to individuals (for example ""Ban"
What is named-entity recognition?,7,0.3757,0,"(https://nlp.cs.nyu.edu/sekine/papers/li07.pdf) (PDF). Lingvisticae Investigationes. 4. Carreras, Xavier; Màrquez, Lluís; Padró, Lluís (2003). A simple named entity extractor using AdaBoost (https://www.aclweb.org/anthology/D/D03/W03-0421.pdf) (PDF). CoNLL. 5. Tjong Kim Sang, Erik F.; De Meulder, Fien (2003). Introduction to the CoNLL-2003 shared task: Language-independent named entity recognition"
What is named-entity recognition?,8,0.3932,0,"Wikipedia[31][32][33] can be seen as an instance of extremely fine-grained named-entity recognition, where the types are the actual Wikipedia pages describing the (potentially ambiguous) concepts. Below is an example output of a Wikification system: Another field that has seen progress but remains challenging is the application of NER to Twitter and other microblogs, considered ""noisy"" due to non-"
What is named-entity recognition?,9,0.3968,0,"For example, identifying a real entity, but: with fewer tokens than desired (for example, missing the last token of ""John Smith, M.D."") with more tokens than desired (for example, including the first word of ""The University of MD"") partitioning adjacent entities differently (for example, treating ""Smith, Jones Robinson"" as 2 vs. 3 entities) assigning it a completely wrong type (for example, callin"
What is named-entity recognition?,10,0.4204,0,"year (past June, next June, every June, etc.). It is arguable that the definition of named entity is loosened in such cases for practical reasons. The definition of the term named entity is therefore not strict and often has to be explained in the context in which it is used.[6] Certain hierarchies of named entity types have been proposed in the literature. BBN categories, proposed in 2002, are us"
What is retrieval-augmented generation?,1,0.3211,0,"generation-RAG). IBM. 22 August 2023. Retrieved 7 March 2025. 2. Zhao, Penghao; Zhang, Hailin; Yu, Qinhan; Wang, Zhengren; Geng, Yunteng; Fu, Fangcheng; Yang, Ling; Zhang, Wentao; Jiang, Jie; Cui, Bin (March 2026). ""Retrieval-Augmented Generation for AI-Generated Content: A Survey"" (https://doi.org/10.1007%2Fs41019-025-0033 5-5). Data Science and Engineering. 11 (1): 1–29. doi:10.1007/s41019-025-0"
What is retrieval-augmented generation?,2,0.3584,1,"Retrieval-augmented generation Retrieval-augmented generation (RAG) is a technique that enables large language models (LLMs) to retrieve and incorporate new information from external data sources.[1][2] With RAG, LLMs first refer to a specified set of documents, then respond to user queries. These documents supplement information from the LLM's pre-existing training data.[3] This allows LLMs to us"
What is retrieval-augmented generation?,3,0.3659,0,"retrieve.[3] On September 2025, Israel paid Clock Tower X $6 million in order to sway public opinion to a more favourable view of the country (hasbara) after support plummeted due to its genocidal conduct during the Gaza war. Clock Tower X used RAG poisoning to flood the information space with sites and content sympathetic to Israel.[19][20] 1. ""What is retrieval-augmented generation?"" (https://re"
What is retrieval-augmented generation?,4,0.4147,1,"could similarly follow user instructions. Before the stream of User and Assistant lines, a chat context usually starts with a few lines of overarching instructions, from a role called ""developer"" or ""system"" to convey a higher authority than the user's input. This is called a ""system prompt"". Retrieval-augmented generation (RAG) is an approach that integrates LLMs with document retrieval systems. "
What is retrieval-augmented generation?,5,0.4282,1,"Overview of RAG process, combining external documents and user input into an LLM prompt to get tailored output approach provides the LLM with key information early in the prompt, encouraging it to prioritize the supplied data over pre-existing training knowledge.[7] Retrieval-augmented generation (RAG) enhances large language models (LLMs) by incorporating an information-retrieval mechanism that a"
What is retrieval-augmented generation?,6,0.4309,0,"augmented generation (RAG), fine-tuning, and other methods.[121] The matter of LLM's exhibiting intelligence or understanding has two main aspects—the first is how to model thought and language in a computer system, and the second is how to enable the computer system to generate human-like language.[109] These aspects of language as a model of cognition have been developed in the field of cognitiv"
What is retrieval-augmented generation?,7,0.4343,0,"RAG also reduces the need to retrain LLMs with new data, saving on computational and financial costs.[1] Beyond efficiency gains, RAG also allows LLMs to include sources in their responses, so users can verify the cited sources. This provides greater transparency, as users can cross-check retrieved content to ensure accuracy and relevance. The term retrieval-augmented generation (RAG) was introduc"
What is retrieval-augmented generation?,8,0.4362,0,"Proceedings of the 43rd International ACM SIGIR Conference on Research and Development in Information Retrieval. pp. 39–48. doi:10.1145/3397271.3401075 (https://doi.org/10.1145%2F 3397271.3401075). ISBN 978-1-4503-8016-4. 12. Wang, Yup; Conroy, John M.; Molino, Neil; Yang, Julia; Green, Mike (2024). ""Laboratory for Analytic Sciences in TREC 2024 Retrieval Augmented Generation Track"" (https://trec."
What is retrieval-augmented generation?,9,0.4365,0,"Kiela, Douwe (2020). ""Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks"" (https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstra ct.html). Advances in Neural Information Processing Systems. 33. Curran Associates, Inc.: 9459–9474. arXiv:2005.11401 (https://arxiv.org/abs/2005.11401). 5. ""Can a technology called RAG keep AI models from making stuff up?"" "
What is retrieval-augmented generation?,10,0.4469,0,"Instructions"" (https://aclanthology.org/2023.acl-long.754/). Self-Instruct: Aligning Language Model with Self Generated Instructions. pp. 13484–13508. doi:10.18653/v1/2023.acl-long.754 (https://doi.org/10.18653%2Fv1%2F2023.acl-long.754). 62. Lewis, Patrick; Perez, Ethan; Piktus, Aleksandra; Petroni, Fabio; Karpukhin, Vladimir; Goyal, Naman; et al. (2020). ""Retrieval-Augmented Generation for Knowle"
