question,k_requested,n_chunks,context_chars,retrieve_s,generate_s,total_s,wall_s,elapsed_since_start_s,error,model,block,phase,cold_start_reliable,resident
Which researchers is the CYK algorithm named after?,10,10,4513,0.008,1.052,1.06,1.075,331.9,,llama3.1:8b,2,steady,,llama3.1:8b
What are the two Word2Vec architectures?,10,10,4580,0.011,1.003,1.013,1.036,332.9,,llama3.1:8b,2,steady,,llama3.1:8b
What is negative sampling?,10,10,4302,0.01,1.013,1.023,1.05,334.0,,llama3.1:8b,2,steady,,llama3.1:8b
What is hierarchical softmax?,10,10,4464,0.012,3.057,3.07,3.091,337.0,,llama3.1:8b,2,steady,,llama3.1:8b
How is tf-idf calculated?,10,10,4507,0.011,3.627,3.638,3.654,340.7,,llama3.1:8b,2,steady,,llama3.1:8b
What does GloVe learn from?,10,10,4239,0.011,0.665,0.676,0.679,341.4,,llama3.1:8b,2,steady,,llama3.1:8b
What is masked language modelling in BERT?,10,10,4010,0.013,2.364,2.377,2.391,343.8,,llama3.1:8b,2,steady,,llama3.1:8b
How does fastText represent words?,10,10,4578,0.01,1.866,1.876,1.898,345.7,,llama3.1:8b,2,steady,,llama3.1:8b
Why does the transformer need positional encoding?,10,10,4144,0.012,0.643,0.655,0.658,346.3,,llama3.1:8b,2,steady,,llama3.1:8b
What is multi-head attention?,10,10,4433,0.011,0.621,0.632,0.647,347.0,,llama3.1:8b,2,steady,,llama3.1:8b
How is speech recognition accuracy measured?,10,10,4573,0.015,2.155,2.17,2.188,349.2,,llama3.1:8b,2,steady,,llama3.1:8b
What is a hidden Markov model?,10,10,4124,0.01,1.09,1.1,1.128,350.3,,llama3.1:8b,2,steady,,llama3.1:8b
What is part-of-speech tagging?,10,10,4170,0.012,1.634,1.646,1.649,351.9,,llama3.1:8b,2,steady,,llama3.1:8b
What is named-entity recognition?,10,10,4567,0.011,1.352,1.363,1.38,353.3,,llama3.1:8b,2,steady,,llama3.1:8b
What is an n-gram?,10,10,4663,0.015,2.475,2.491,2.515,355.8,,llama3.1:8b,2,steady,,llama3.1:8b
When was GPT-4 released?,10,10,4496,0.012,1.02,1.032,1.046,356.9,,llama3.1:8b,2,steady,,llama3.1:8b
What is retrieval-augmented generation?,10,10,4518,0.011,3.256,3.266,3.286,360.2,,llama3.1:8b,2,steady,,llama3.1:8b
What is hallucination in large language models?,10,10,4631,0.008,2.266,2.275,2.278,362.5,,llama3.1:8b,2,steady,,llama3.1:8b
What does the Viterbi algorithm compute?,10,10,4091,0.007,0.872,0.879,0.906,363.4,,llama3.1:8b,3,steady,,llama3.1:8b
What is Chomsky normal form?,10,10,4484,0.01,2.541,2.551,2.554,366.0,,llama3.1:8b,3,steady,,llama3.1:8b
Which researchers is the CYK algorithm named after?,10,10,4513,0.008,0.992,1.001,1.003,367.0,,llama3.1:8b,3,steady,,llama3.1:8b
What are the two Word2Vec architectures?,10,10,4580,0.011,1.055,1.066,1.088,368.1,,llama3.1:8b,3,steady,,llama3.1:8b
What is negative sampling?,10,10,4302,0.009,1.086,1.096,1.098,369.2,,llama3.1:8b,3,steady,,llama3.1:8b
What is hierarchical softmax?,10,10,4464,0.011,3.009,3.02,3.036,372.2,,llama3.1:8b,3,steady,,llama3.1:8b
How is tf-idf calculated?,10,10,4507,0.008,3.786,3.795,3.808,376.0,,llama3.1:8b,3,steady,,llama3.1:8b
What does GloVe learn from?,10,10,4239,0.009,0.608,0.617,0.62,376.6,,llama3.1:8b,3,steady,,llama3.1:8b
What is masked language modelling in BERT?,10,10,4010,0.011,2.497,2.507,2.526,379.1,,llama3.1:8b,3,steady,,llama3.1:8b
How does fastText represent words?,10,10,4578,0.008,1.667,1.675,1.692,380.8,,llama3.1:8b,3,steady,,llama3.1:8b
Why does the transformer need positional encoding?,10,10,4144,0.008,0.625,0.633,0.658,381.5,,llama3.1:8b,3,steady,,llama3.1:8b
What is multi-head attention?,10,10,4433,0.015,0.589,0.604,0.625,382.1,,llama3.1:8b,3,steady,,llama3.1:8b
How is speech recognition accuracy measured?,10,10,4573,0.013,2.043,2.057,2.076,384.2,,llama3.1:8b,3,steady,,llama3.1:8b
What is a hidden Markov model?,10,10,4124,0.01,1.018,1.027,1.031,385.2,,llama3.1:8b,3,steady,,llama3.1:8b
What is part-of-speech tagging?,10,10,4170,0.013,1.375,1.388,1.404,386.6,,llama3.1:8b,3,steady,,llama3.1:8b
What is named-entity recognition?,10,10,4567,0.008,1.687,1.695,1.698,388.3,,llama3.1:8b,3,steady,,llama3.1:8b
What is an n-gram?,10,10,4663,0.009,2.22,2.229,2.248,390.6,,llama3.1:8b,3,steady,,llama3.1:8b
When was GPT-4 released?,10,10,4496,0.009,0.95,0.959,0.962,391.5,,llama3.1:8b,3,steady,,llama3.1:8b
What is retrieval-augmented generation?,10,10,4518,0.009,3.318,3.327,3.348,394.9,,llama3.1:8b,3,steady,,llama3.1:8b
What is hallucination in large language models?,10,10,4631,0.01,2.218,2.228,2.23,397.1,,llama3.1:8b,3,steady,,llama3.1:8b
